Cliente,Producto,Product_Type,pred_ventas,Channel_Inv,Sell_in,periodo_predicho,inventario_negativo_flag,inventario_disponible,gap_demanda,gap_abs,cobertura_semanas,prioridad_despacho,recomendacion
CUSTOMER35,"TABLET,SM-X520,GRAY,COO",TABLET,54.062798,0.0,35.0,2025-09-01,0,0.0,54.062798,54.062798,0.0,54.062798,Despachar / reabastecer
CUSTOMER35,"OWM,SAMCOL,CO,13",OWM,82.0018,29.0,24.0,2025-09-01,0,29.0,53.0018,53.0018,1.5199014,53.0018,Despachar / reabastecer
CUSTOMER35,"MOBILE,SM-A566E/DS,BLACK,LTC",MOBILE,52.96129,0.0,257.0,2025-09-01,0,0.0,52.96129,52.96129,0.0,52.96129,Despachar / reabastecer
CUSTOMER27,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,52.605392,0.0,0.0,2025-09-01,0,0.0,52.605392,52.605392,0.0,52.605392,Despachar / reabastecer
CUSTOMER74,"TWM,SELACOL,CO,7.5",TWM,631.1515,579.0,656.0,2025-09-01,0,579.0,52.15149,52.15149,3.9444265,52.15149,Despachar / reabastecer
CUSTOMER6,"OWM,SAMCOL,CO,13",OWM,80.86494,29.0,0.0,2025-09-01,0,29.0,51.864937,51.864937,1.5412581,51.864937,Despachar / reabastecer
CUSTOMER35,"TABLET,SM-X620,GRAY,COO",TABLET,50.73007,0.0,50.0,2025-09-01,0,0.0,50.73007,50.73007,0.0,50.73007,Despachar / reabastecer
CUSTOMER35,"FWM,SAMCOL,CO,26",FWM,91.642944,42.0,44.0,2025-09-01,0,42.0,49.642944,49.642944,1.9697677,49.642944,Despachar / reabastecer
CUSTOMER27,"TABLET,SM-P620,GRAY,COO",TABLET,47.940567,0.0,0.0,2025-09-01,0,0.0,47.940567,47.940567,0.0,47.940567,Despachar / reabastecer
CUSTOMER39,"OWM,SELACOL,CO,17",OWM,149.46794,102.0,102.0,2025-09-01,0,102.0,47.46794,47.46794,2.933565,47.46794,Despachar / reabastecer
CUSTOMER35,"TABLET,SM-X520,LIGHT BLUE,COO",TABLET,47.383713,0.0,51.0,2025-09-01,0,0.0,47.383713,47.383713,0.0,47.383713,Despachar / reabastecer
CUSTOMER82,"MON,S24D402GAN,24,UNITED STATES,LM41/S24",MON,117.33544,70.0,100.0,2025-09-01,0,70.0,47.33544,47.33544,2.5643551,47.33544,Despachar / reabastecer
CUSTOMER35,"RSS,603.0,120V 60HZ",RSS,81.6585,36.0,37.0,2025-09-01,0,36.0,45.6585,45.6585,1.8947021,45.6585,Despachar / reabastecer
CUSTOMER27,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,44.467804,0.0,0.0,2025-09-01,0,0.0,44.467804,44.467804,0.0,44.467804,Despachar / reabastecer
CUSTOMER35,"MOBILE,SM-S938B/DS,BLUE,LTC",MOBILE,42.628197,0.0,45.0,2025-09-01,0,0.0,42.628197,42.628197,0.0,42.628197,Despachar / reabastecer
CUSTOMER7,"OWM,SAMCOL,CO,13",OWM,397.3167,355.0,814.0,2025-09-01,0,355.0,42.31671,42.31671,3.8416076,42.31671,Despachar / reabastecer
CUSTOMER35,"MOBILE,SM-A266M/DS,WHITE,LTC",MOBILE,41.959507,0.0,71.0,2025-09-01,0,0.0,41.959507,41.959507,0.0,41.959507,Despachar / reabastecer
CUSTOMER35,"FWM,SELACOL,CO,18",FWM,60.912285,19.0,14.0,2025-09-01,0,19.0,41.912285,41.912285,1.3403269,41.912285,Despachar / reabastecer
